C100

CUSTOMER
CUST NO.  XCOORD.   YCOORD.   
 
0          40         50
1          45         68
2          45         70
3          42         66
4          42         68
5          42         65
6          40         69
7          40         66
8          38         68
9          38         70
10         35         66
11         35         69
12         25         85
13         22         75
14         22         85
15         20         80
16         20         85
17         18         75
18         15         75
19         15         80
20         30         50
21         30         52
22         28         52
23         28         55
24         25         50
25         25         52
