C200    

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    
 
0          40         50
1          52         75
2          45         70
3          62         69
4          60         66
5          42         65
6          16         42
7          58         70
8          34         60
9          28         70
10         35         66
11         35         69
12         25         85
13         22         75
14         22         85
15         20         80
16         20         85
17         18         75
18         15         75
19         15         80
20         30         50
21         30         56
22         28         52
23         14         66
24         25         50
25         22         66
