RC100

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    
 
0          40         50
1          25         85
2          22         75
3          22         85
4          20         80
5          20         85
6          18         75
7          15         75
8          15         80
9          10         35
10         10         40
11         8          40
12         8          45
13         5          35
14         5          45
15         2          40
16         0          40
17         0          45
18         44         5
19         42         10
20         42         15
21         40         5
22         40         15
23         38         5
24         38         15
25         35         5
