C100

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    
 
0          40         50
1          45         68
2          45         70
3          42         66
4          42         68
5          42         65
6          40         69
7          40         66
8          38         68
9          38         70
10         35         66
11         35         69
12         25         85
13         22         75
14         22         85
15         20         80
16         20         85
17         18         75
18         15         75
19         15         80
20         30         50
21         30         52
22         28         52
23         28         55
24         25         50
25         25         52
26         25         55
27         23         52
28         23         55
29         20         50
30         20         55
31         10         35
32         10         40
33         8          40
34         8          45
35         5          35
36         5          45
37         2          40
38         0          40
39         0          45
40         35         30
41         35         32
42         33         32
43         33         35
44         32         30
45         30         30
46         30         32
47         30         35
48         28         30
49         28         35
50         26         32
  
