C200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    
 
0          40         50
1          52         75
2          45         70
3          62         69
4          60         66
5          42         65
6          16         42
7          58         70
8          34         60
9          28         70
10         35         66
11         35         69
12         25         85
13         22         75
14         22         85
15         20         80
16         20         85
17         18         75
18         15         75
19         15         80
20         30         50
21         30         56
22         28         52
23         14         66
24         25         50
25         22         66
26         8          62
27         23         52
28         4          55
29         20         50
30         20         55
31         10         35
32         10         40
33         8          40
34         8          45
35         5          35
36         5          45
37         2          40
38         0          40
39         0          45
40         36         18
41         35         32
42         33         32
43         33         35
44         32         20
45         30         30
46         34         25
47         30         35
48         36         40
49         48         20
50         26         32
