R100_(25)
25, 200, 26
0, 35.00, 35.00, 0.00
1, 41.00, 49.00, 10.00
2, 35.00, 17.00, 7.00
3, 55.00, 45.00, 13.00
4, 55.00, 20.00, 19.00
5, 15.00, 30.00, 26.00
6, 25.00, 30.00, 3.00
7, 20.00, 50.00, 5.00
8, 10.00, 43.00, 9.00
9, 55.00, 60.00, 16.00
10, 30.00, 60.00, 16.00
11, 20.00, 65.00, 12.00
12, 50.00, 35.00, 19.00
13, 30.00, 25.00, 23.00
14, 15.00, 10.00, 20.00
15, 30.00, 5.00, 8.00
16, 10.00, 20.00, 19.00
17, 5.00, 30.00, 2.00
18, 20.00, 40.00, 12.00
19, 15.00, 60.00, 17.00
20, 45.00, 65.00, 9.00
21, 45.00, 20.00, 11.00
22, 45.00, 10.00, 18.00
23, 55.00, 5.00, 29.00
24, 65.00, 35.00, 3.00
25, 65.00, 20.00, 6.00
